"id","star_rating","title","date","site","content_clean_nostop"
"imdb0088",10,"Great Movie !!","2020-07-26","imdb","beginning bit strange black humor disturbing summarize betray humor"
"imdb0089",10,"I had to see it twice.","2019-12-17","imdb","2019 loves"
"imdb0090",10,"Movie of the year","2019-11-11","imdb","suspense drama accuracy real life visually amazing beautiful"
"imdb0091",10,"One of the best of 2019","2019-09-07","imdb","excellent writing acting direction drama suspense action"
"imdb0092",10,"Incredible","2020-03-08","imdb","hard pinpoint"
"imdb0093",10,"Parasite (Gisaengchung)","2020-01-14","imdb","stunning wonderful acting team leave start awesome enjoyed loved korean decade"
"imdb0094",10,"Banned in Canada","2019-11-16","imdb","shape water intensive purposes banned canada cineplex site korean e.s.t playing toronto 11 16 2019 playing oakville 1 theater play local art theater seats 30 town month interestingly google play reviews rent buy canada caste systems operate worldwide including canada taboo topic"
"imdb0095",10,"A TRUE MASTERPIECE..","2020-02-07","imdb","unemployed ki taek family peculiar wealthy glamorous parks ingratiate lives entangled unexpected incident review title suggests symbolizes entire starts comedy slowly intense thriller finally horror focuses rich poor goals aims bother interval climax lay foundation extreme cinematic experience spine chilling mind boggling performance delivered korean stupendous flawless details introduced masterpiece experience rating 4.0 5.0"
"imdb0096",10,"OMG... this is how I was almost the whole movie, with the hand in my mouth and my eyes wide open.","2020-02-19","imdb","godfather inception panic refined version 20 bizarre funny time beautiful unique style bong joon 8,6 10 10 10 bong joon writers world okja ultimatum defined genius masterpiece time elegant perfect timing edition moments looked orchestra beautiful classic orchestra background beautiful piece music called orchestra hides orchestra complex creepy sad called life methaphore inside methaphore inside complex methaphore freaking genius minutes slow bong joon rythm arrived brillant tension exquisite photography clean art refined elements script acting brillant 10 people vote 8,6 10 reason sharknado running times"
"imdb0097",10,"Parasite is many different movies all at the same time.","2020-02-16","imdb","levels means people reviews youtube rottentomatoes sticks blends considered godfather pulp fiction due time won picture foreign oscars people slowly start studying analysis channels nerdwriter write glowing essays hit mark deeply outward differences imo similar wrong genre country simple plan study understanding socio economic class poor rich fourth act hitchcock stick glad alive"
"imdb0098",10,"Mixed Genre","2019-08-14","imdb","comedy brutal dark drama switched genre smooth enjoy bit minute line"
"imdb0099",10,"Wealth and Poverty","2020-02-16","imdb","glance simple sink deep power thinking power wealth poverty incapacity"
"imdb0100",10,"Perfection/masterpiece","2020-12-06","imdb","love march mistake"
"imdb0101",10,"Masterpiece","2020-01-16","imdb","entertaining enthralling pacing filming dialogue converge viewer's brain exciting neurons fireworks bathing cortices explosive brain juice purpose builds leading climatic"
"imdb0102",10,"Not a Big Fan of Subtitles but.....","2021-08-10","imdb","viewing matured fan subtitles changed mind rightfully loved barely read predictably thinking brilliant directing reading subtitles culture countries hard altogether time emotional funny dark endearing suspenseful supposed hit home run low ratings steer overcame angst settle foreign pleasure hand oscar deserved"
"imdb0103",10,"A masterpiece in South Korean filmmaking","2021-10-19","imdb","bong joon ho's hits notes twists drive home unforgettable experience 10 10"
"imdb0104",10,"Simply Beautiful!","2021-08-09","imdb","write speaks 3 perfect 10 1 shawshank redemption 2 godfather 3 12 angry guess 4 2019"
"imdb0105",10,"ONE OF THE GREATEST FILMS EVER MADE","2020-02-20","imdb","time february time thanksgiving loved love time favorite absolutely insane move world impossibility hope destroy thrilling beautifully heart pick analysis notice beautifully edited write stop reading necessity"
"imdb0106",10,"Thrilled!","2021-10-07","imdb","matter times impact leaves strong emotions makes thinking behaving people love forever grateful money makes world round"
"imdb0107",10,"Best","2020-04-26","imdb","korea masterpiece"
"imdb0108",10,"totally overrated","2020-02-26","imdb","worth oscar"
"imdb0109",10,"A masterful emotional rollercoaster","2020-01-16","imdb","bong joon ho outstanding entire decade hell decade matches funny heartbreaking intense feeling tonally inconsistent confused fail acting incredible fantastic guys bad guys people feel real believable refreshing change pace bloated action expected social commentary fantastic time describe perfect loved single bit"
"imdb0110",10,"Riveting and beautifully shot","2020-03-16","imdb","black white score fantastic balanced horrifying topics hilarious masterpiece"
"imdb0111",10,"A masterpiece","2020-05-26","imdb","builds unlike fantastic fashion hooks realize reading subtitles"
"imdb0112",10,"Top notch, easily goes does down into the top 1% of the charts.","2020-02-22","imdb","theme unmatched experience division classes bringing reality subtly screen"
"imdb0113",10,"Masterpiece.","2021-09-13","imdb","family underground sad dark povert kim's family moves move light hope wealth fall light disappeared family moves darkness final reflects firts darker rain star ran stairs signifying begging dad hates cockroaches"
"imdb0114",10,"Favorite Film of 2019","2020-03-29","imdb","family cons deeper intended live life deserve unexpected twists startling action deviate reality"
"imdb0115",10,"Don't have any expectations","2019-08-18","imdb","surprises genre delivers experience idea beginning worth perfectly dramatical comedian differences rich poor"
"imdb0116",10,"This is a perfect movie.","2019-12-04","imdb","flaws transcended funny scary sad gripping start finish critic magic trick care subtitles easily recommend support foreign arthouse indie implore blind hoping picture win oscars bong joon ho's masterpiece"
"imdb0117",10,"A masterpiece ! Just speechless ...","2020-03-05","imdb","forgot korean captivated happened pitiful comical thrilling horrifying simple understand interpret shud lifetime"
"imdb0118",10,"Extra Ordinary Drama Movie","2020-01-26","imdb","expected literally elements brilliant direction music acting"
